bucket_midpoint,count
91016.87600000016,33214
95994.37600000016,33203
101481.0,33212
107595.5,33205
114544.8479999993,33215
122370.06399999931,33209
131272.71600000001,33208
141592.5,33200
153603.0,33216
167870.0,33210
185282.5,33209
206910.5,33208
234214.16799999774,33210
270453.16799999774,33208
321554.61200000346,33210
398932.9040000029,33208
535142.5559999999,33209
862021.451999994,33209
6725117.687999994,33209
