ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate
akka1237,Akkala Saami,Eurasia,67.8625,32.4046,akka1237,sia,language,RU,ural1272,,sia,,2003,false
nort2671,North Saami,Eurasia,68.725,22.1113,nort2671,sme,language,FI;NO;RU;SE,ural1272,,sme,,,false
lule1256,Lule-Pite Saami,,66.8385,17.615900000000003,lule1256,,family,,ural1272,,,,,
umes1235,Ume Saami,Eurasia,64.6383,18.646,umes1235,sju,language,SE,ural1272,,sju,,,false
sout2674,South Saami,Eurasia,62.8801,13.7006,sout2674,sma,language,NO;SE,ural1272,,sma,,,false
cent2329,Central Finnic,,58.9651,27.221750000000004,cent2329,,family,,ural1272,,,,,
nort3282,North Finnic,,64.55290500000001,28.545880555555556,nort3282,,family,,ural1272,,,,,
west1760,Courland Livonian,Eurasia,57.566,22.0262,west1760,,dialect,,ural1272,livv1244,liv,,,
east2326,Salaca Livonian,Eurasia,57.566,22.0262,east2326,,dialect,,ural1272,livv1244,liv,,,
mulg1249,Mulgi,Eurasia,57.85,27.0,mulg1249,,dialect,,ural1272,sout2679,vro,,,
ugan1245,Ugandi,Eurasia,57.85,27.0,ugan1245,,dialect,,ural1272,sout2679,vro,,,
uppe1461,Upper Loz'va Mansi,Eurasia,64.4118,61.344,uppe1461,,dialect,,ural1272,mans1258,mns,,,
sygv1234,Sygva Mansi,Eurasia,64.4118,61.344,sygv1234,,dialect,,ural1272,mans1258,mns,,,
obma1234,Ob Mansi,Eurasia,64.4118,61.344,obma1234,,dialect,,ural1272,mans1258,mns,,,
nort2677,Sosva Mansi,Eurasia,64.4118,61.344,nort2677,,dialect,,ural1272,mans1258,mns,,,
west2976,West Mansi,Eurasia,61.1432,62.4023,west2976,,dialect,,ural1272,cent2322,,,,
east2879,East Mansi,Eurasia,61.1432,62.4023,east2879,,dialect,,ural1272,cent2322,,,,
tazz1244,Taz-Turukhan,Eurasia,65.7035,82.4441,tazz1244,,dialect,RU,ural1272,selk1253,sel,,,
kety1234,Kety-Central-Southern Selkup,Eurasia,59.9409,82.3004,kety1234,,dialect,,ural1272,selk1253,sel,,,
samo1299,Samoyed Koibal,Eurasia,55.07,94.83,samo1299,zkb,dialect,RU,ural1272,kama1351,zkb,,,
kama1378,Kamas (Uralic),Eurasia,55.07,94.83,kama1378,,dialect,,ural1272,kama1351,xas,,,
taim1257,Taimyr Avam,Eurasia,73.1354,86.2106,taim1257,,dialect,,ural1272,ngan1291,nio,,,
pyas1236,Pyasina Avam,Eurasia,73.1354,86.2106,pyas1236,,dialect,,ural1272,ngan1291,nio,,,
tund1254,Tundra Enets,Eurasia,70.36,84.08,tund1254,enh,language,RU,ural1272,,enh,,,false
fore1265,Forest Enets,Eurasia,68.6,86.5,fore1265,enf,language,RU,ural1272,,enf,,,false
nene1249,Tundra Nenets,Eurasia,66.1775,71.0234,nene1249,yrk,language,RU,ural1272,,yrk,,,false
fore1274,Forest Nenets,Eurasia,63.72,71.97,fore1274,,language,RU,ural1272,,,,,false
mayo1263,Mayo-Yessan,Papunesia,-4.15721,142.574,mayo1263,,dialect,,sepi1257,yess1239,yss,,,
yawu1237,Yawu,Papunesia,-4.15721,142.574,yawu1237,,dialect,,sepi1257,yess1239,yss,,,
pasi1259,Pasi,Papunesia,-3.95195,142.307,pasi1259,psq,language,PG,sepi1257,,psq,,,false
kalo1262,Kalou,Papunesia,-3.93985,142.217,kalo1262,ywa,language,PG,sepi1257,,ywa,,,false
ayip1235,Ayi (Papua New Guinea),Papunesia,-3.95946,142.407,ayip1235,ayq,language,PG,sepi1257,,ayq,,,false
wasa1246,Wasambu,Papunesia,-3.74263,142.711,wasa1246,,dialect,,sepi1257,kwan1278,kwj,,,
apos1239,Apos,Papunesia,-3.74263,142.711,apos1239,,dialect,,sepi1257,kwan1278,kwj,,,
tauu1239,Tau,Papunesia,-3.74263,142.711,tauu1239,,dialect,,sepi1257,kwan1278,kwj,,,
bong1290,Bongos,Papunesia,-3.74263,142.711,bong1290,,dialect,,sepi1257,kwan1278,kwj,,,
kuve1239,Kuvenmas,Papunesia,-4.66307,143.316,kuve1239,,dialect,,sepi1257,alam1246,amp,,,
kara1494,Karawari,Papunesia,-4.66307,143.316,kara1494,,dialect,,sepi1257,alam1246,amp,,,
hiyo1238,Hiyowe,Papunesia,-4.4376,142.369,hiyo1238,,dialect,,sepi1257,sani1270,sny,,,
sani1271,Saniyo,Papunesia,-4.4376,142.369,sani1271,,dialect,,sepi1257,sani1270,sny,,,
piam1243,Piame,Papunesia,-4.85835,142.784,piam1243,pin,language,PG,sepi1257,,pin,,,false
hewa1241,Hewa,Papunesia,-5.03635,142.551,hewa1241,ham,language,PG,sepi1257,,ham,,,false
niks1238,Niksek,Papunesia,-4.82581,142.45,niks1238,gbe,language,PG,sepi1257,,gbe,,,false
wagu1234,Wagu,Papunesia,-4.380424,142.726795,wagu1234,,language,PG,sepi1257,,,,,false
bahi1254,Bahinemo,Papunesia,-4.55527,142.832,bahi1254,bjh,language,PG,sepi1257,,bjh,,,false
nigi1241,Nigilu,Papunesia,-4.45,142.55,nigi1241,,language,PG,sepi1257,,,,,false
beri1253,Berinomo,Papunesia,-4.41689,142.463,beri1253,bit,language,PG,sepi1257,,bit,,,false
bisi1244,Bisis,Papunesia,-4.46238,143.058,bisi1244,bnw,language,PG,sepi1257,,bnw,,,false
kapr1244,Kapriman-Watakataui,,-4.54988,143.123,kapr1244,,family,,sepi1257,,,,,
suma1269,Sumariup,Papunesia,-4.73083,143.239,suma1269,siv,language,PG,sepi1257,,siv,,,false
mari1432,Mari (East Sepik Province),Papunesia,-4.46436,142.963,mari1432,mbx,language,PG,sepi1257,,mbx,,,false
bouy1241,Bouye,Papunesia,-3.72704,141.864,bouy1241,,dialect,,sepi1257,pouy1238,bye,,,
maur1241,Maurom,Papunesia,-3.72704,141.864,maur1241,,dialect,,sepi1257,pouy1238,bye,,,
mare1239,Mare-Ammu,Australia,-13.8818,130.237,mare1239,,dialect,,west2434,mari1424,mfr,,,
nucl1242,Nuclear Marithiel,Australia,-13.8818,130.237,nucl1242,,dialect,,west2434,mari1424,mfr,,,
marr1241,Marri Yedi,Australia,-13.8818,130.237,marr1241,,dialect,,west2434,mari1424,mfr,,,
marr1240,Marritjabin,Australia,-13.8818,130.237,marr1240,,dialect,,west2434,mari1424,mfr,,,
nucl1440,Masalit,Africa,13.2733,22.1752,nucl1440,mls,language,SD;TD,maba1274,,mls,,,false
surb1238,Surbakhal,Africa,13.1331,21.6243,surb1238,sbj,language,TD,maba1274,,sbj,,,false
mass1262,Massalat,Africa,13.5157,19.7348,mass1262,mdg,language,TD,maba1274,,mdg,,,false
kara1484,Karanga,Africa,13.1748,20.6354,kara1484,kth,language,TD,maba1274,,kth,,,false
marf1238,Marfa,Africa,13.1568,20.7882,marf1238,mvu,language,TD,maba1274,,mvu,,,false
kend1253,Kendeje,Africa,13.24447,21.53955,kend1253,klf,language,TD,maba1274,,klf,,,false
maba1277,Maba (Chad),Africa,12.89147,20.8889,maba1277,mde,language,TD,maba1274,,mde,,,false
murr1262,Murru,Africa,11.32054,20.87674,murr1262,,dialect,,maba1274,kibe1241,kie,,,
nucl1439,Nuclear Kibet,Africa,11.32054,20.87674,nucl1439,,dialect,,maba1274,kibe1241,kie,,,
dage1243,Dagel,Africa,11.32054,20.87674,dage1243,,dialect,,maba1274,kibe1241,kie,,,
seri1256,Serikenam,Papunesia,-2.2137,138.486,seri1256,,dialect,,kwer1242,nucl1595,kwe,,,
sasa1251,Sasawa,Papunesia,-2.2137,138.486,sasa1251,,dialect,,kwer1242,nucl1595,kwe,,,
nogu1238,Nogukwabai,Papunesia,-2.2137,138.486,nogu1238,,dialect,,kwer1242,nucl1595,kwe,,,
hupd1245,Western Hup,South America,0.58622,-69.8359,hupd1245,,dialect,,nada1235,hupd1244,jup,,,
tuhu1238,Eastern Hup,South America,0.58622,-69.8359,tuhu1238,,dialect,,nada1235,hupd1244,jup,,,
nehu1238,Central Hup,South America,0.58622,-69.8359,nehu1238,,dialect,,nada1235,hupd1244,jup,,,
kups1238,Kupsabiny,Africa,1.33197,34.5991,kups1238,kpz,language,KE;UG,nilo1247,,kpz,,,false
saba1262,Sabaot,Africa,1.01297,34.6664,saba1262,spy,language,KE;UG,nilo1247,,spy,,,false
mosi1247,Akie,Africa,-5.43471,37.1869,mosi1247,mwy,language,TZ,nilo1247,,mwy,,,false
okie1245,Okiek,Africa,-2.78048,36.5977,okie1245,oki,language,KE;TZ,nilo1247,,oki,,,false
